Capítulo (Nro);Capítulo (Nombre);Grupo de Enfermedad;Código 1ª Jerarquía;Categoría 1ª Jerarquía;Código 2ª Jerarquía;Categoría 2ª Jerarquía;Observaciones
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K82;Otras enfermedades de la vesícula biliar;K82.8;Otras enfermedades especificadas de la vesícula biliar;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K82;Otras enfermedades de la vesícula biliar;K82.9;Enfermedad de la vesícula biliar, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.0;Colangitis;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.1;Obstrucción del conducto biliar;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.2;Perforación del conducto biliar;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.3;Fístula del conducto biliar;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.4;Espasmo del esfínter de Oddi;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.5;Quiste biliar;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.8;Otras enfermedades especificadas de las vías biliares;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K83;Otras enfermedades de las vías biliares;K83.9;Enfermedad de las vías biliares, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.0;Pancreatitis idiopática aguda;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.1;Pancreatitis biliar aguda;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.2;Pancreatitis aguda inducida por alcohol;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.3;Pancreatitis aguda inducida por drogas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.8;Otras pancreatitis agudas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K85;Pancreatitis aguda;K85.9;Pancreatitis aguda, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.0;Pancreatitis crónica inducida por el alcohol;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.1;Otras pancreatitis crónicas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.2;Quiste del páncreas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.3;Seudoquiste del páncreas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.8;Otras enfermedades especificadas del páncreas;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K86.9;Enfermedad del páncreas, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K87.0;Trastornos de la vesícula biliar y de las vías biliares en;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
XI;Enfermedades del sistema digestivo (K00–K93);Trastornos de la vesícula biliar, de las vías biliares y del páncreas;K86;Otras enfermedades del páncreas;K87.1;Trastornos del páncreas en enfermedades clasificadas en;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.0;Enfermedad celíaca;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.1;Esprue tropical;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.2;Síndrome del asa ciega, no clasificado en otra parte;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.3;Esteatorrea pancreática;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.4;Malabsorción debida a intolerancia, no clasificada en otra;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.8;Otros tipos de malabsorción intestinal;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K90.9;Malabsorción intestinal, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.0;Vómito postcirugía gastrointestinal;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.1;Síndromes consecutivos a la cirugía gástrica;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.2;Malabsorción postquirúrgica, no clasificada en otra parte;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.3;Obstrucción intestinal postoperatoria;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.4;Disfunción de colostomía o enterostomía;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.5;Síndrome postcolecistectomía;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.8;Otros trastornos del sistema digestivo consecutivos a;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K90;Malabsorción intestinal;K91.9;Trastorno no especificado del sistema digestivo;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K92.0;Hematemesis;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K92.1;Melena;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K92.2;Hemorragia gastrointestinal, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K92.8;Otras enfermedades especificadas del sistema digestivo;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K92.9;Enfermedad del sistema digestivo, no especificada;
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K93.0;Trastornos tuberculosos del intestino, peritoneo y ganglios;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K93.1;Megacolon en la enfermedad de Chagas (B57.3†);"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
XI;Enfermedades del sistema digestivo (K00–K93);Otras enfermedades del sistema digestivo;K92;Otras enfermedades del sistema digestivo;K93.8;Trastornos de otros órganos digestivos especificados en;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L01;Impétigo;L01.0;Impétigo [cualquier sitio anatómico] [cualquier organismo];
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L01;Impétigo;L01.1;Impetiginización de otras dermatosis;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.0;Absceso cutáneo, furúnculo y carbunco de la cara;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.1;Absceso cutáneo, furúnculo y carbunco del cuello;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.2;Absceso cutáneo, furúnculo y carbunco del tronco;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.3;Absceso cutáneo, furúnculo y carbunco de glúteos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.4;Absceso cutáneo, furúnculo y carbunco de miembro;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.8;Absceso cutáneo, furúnculo y carbunco de otros sitios;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L02;Absceso cutáneo, furúnculo y carbunco;L02.9;Absceso cutáneo, furúnculo y carbunco de sitio no;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.0;Celulitis de los dedos de la mano y del pie;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.1;Celulitis de otras partes de los miembros;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.2;Celulitis de la cara;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.3;Celulitis del tronco;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.8;Celulitis de otros sitios;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L03;Celulitis;L03.9;Celulitis de sitio no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.0;Linfadenitis aguda de cara, cabeza y cuello;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.1;Linfadenitis aguda del tronco;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.2;Linfadenitis aguda del miembro superior;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.3;Linfadenitis aguda del miembro inferior;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.8;Linfadenitis aguda de otros sitios;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L04;Linfadenitis aguda;L04.9;Linfadenitis aguda de sitio no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L05.0;Quiste pilonidal con absceso;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L05.9;Quiste pilonidal sin absceso;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L08.0;Pioderma;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L08.1;Eritrasma;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L08.8;Otras infecciones locales especificadas de la piel y del;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Infecciones de la piel y del tejido subcutáneo;L05;Quiste pilonidal;L08.9;Infección local de la piel y del tejido subcutáneo, no;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.0;Pénfigo vulgar;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.2;Pénfigo foliáceo;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.3;Pénfigo brasileño [fogo selvagem];
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.4;Pénfigo eritematoso;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.5;Pénfigo inducido por drogas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.8;Otros pénfigos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L10;Pénfigo;L10.9;Pénfigo, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L11;Otros trastornos acantolíticos;L11.0;Queratosis folicular adquirida;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L11;Otros trastornos acantolíticos;L11.1;Dermatosis acantolítica transitoria [Grover];
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L11;Otros trastornos acantolíticos;L11.8;Otros trastornos acantolíticos especificados;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L11;Otros trastornos acantolíticos;L11.9;Trastorno acantolítico, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.0;Penfigoide flictenular;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.1;Penfigoide cicatricial;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.2;Enfermedad flictenular crónica de la infancia;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.3;Epidermólisis bullosa adquirida;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.8;Otros penfigoides;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L12;Penfigoide;L12.9;Penfigoide, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L13;Otros trastornos flictenulares;L13.0;Dermatitis herpetiforme;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L13;Otros trastornos flictenulares;L13.1;Dermatitis pustulosa subcorneal;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos flictenulares;L13;Otros trastornos flictenulares;L13.9;Trastorno flictenular, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L20;Dermatitis atópica;L20.0;Prurigo de Besnier;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L20;Dermatitis atópica;L20.8;Otras dermatitis atópicas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L20;Dermatitis atópica;L20.9;Dermatitis atópica, no especificada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L21;Dermatitis seborreica;L21.1;Dermatitis seborreica infantil;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L21;Dermatitis seborreica;L21.8;Otras dermatitis seborreicas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L21;Dermatitis seborreica;L21.9;Dermatitis seborreica, no especificada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.0;Dermatitis alérgica de contacto debida a metales;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.1;Dermatitis alérgica de contacto debida a adhesivos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.2;Dermatitis alérgica de contacto debida a cosméticos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.3;Dermatitis alérgica de contacto debida a drogas en contacto;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.4;Dermatitis alérgica de contacto debida a colorantes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.5;Dermatitis alérgica de contacto debida a otros productos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.6;Dermatitis alérgica de contacto debida a alimentos en;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.7;Dermatitis alérgica de contacto debida a plantas, excepto;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.8;Dermatitis alérgica de contacto debida a otros agentes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L23;Dermatitis alérgica de contacto;L23.9;Dermatitis alérgica de contacto, de causa no especificada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.0;Dermatitis de contacto por irritantes, debida a detergentes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.1;Dermatitis de contacto por irritantes, debida a aceites y;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.2;Dermatitis de contacto por irritantes, debida a disolventes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.3;Dermatitis de contacto por irritantes, debida a cosméticos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.4;Dermatitis de contacto por irritantes, debida a drogas en;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.5;Dermatitis de contacto por irritantes, debida a otros;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.6;Dermatitis de contacto por irritantes, debida a alimentos en;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.7;Dermatitis de contacto por irritantes, debida a plantas,;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.8;Dermatitis de contacto por irritantes, debida a otros agentes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L24;Dermatitis de contacto por irritantes;L24.9;Dermatitis de contacto por irritantes, de causa no;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.0;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.1;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.2;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.3;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.4;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.5;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.8;Dermatitis de contacto, forma no especificada, debida a;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L25;Dermatitis de contacto, forma no especificada;L25.9;Dermatitis de contacto, forma y causa no especificadas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L27;Dermatitis debida a sustancias ingeridas;L27.0;Erupción cutánea generalizada debida a drogas y;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L27;Dermatitis debida a sustancias ingeridas;L27.1;Erupción cutánea localizada debida a drogas y;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L27;Dermatitis debida a sustancias ingeridas;L27.2;Dermatitis debida a ingestión de alimentos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L27;Dermatitis debida a sustancias ingeridas;L27.8;Dermatitis debida a otras sustancias ingeridas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L27;Dermatitis debida a sustancias ingeridas;L27.9;Dermatitis debida a sustancias ingeridas no especificadas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L28;Liquen simple crónico y prurigo;L28.0;Liquen simple crónico;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L28;Liquen simple crónico y prurigo;L28.1;Prurigo nodular;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L28;Liquen simple crónico y prurigo;L28.2;Otros prurigos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.0;Prurito anal;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.1;Prurito escrotal;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.2;Prurito vulvar;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.3;Prurito anogenital, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.8;Otros pruritos;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L29;Prurito;L29.9;Prurito, no especificado;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.0;Dermatitis numular;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.1;Dishidrosis [ponfólix];
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.2;Autosensibilización cutánea;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.3;Dermatitis infecciosa;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.4;Eritema intertrigo;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.5;Pitiriasis alba;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.8;Otras dermatitis especificadas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Dermatitis y eczema;L30;Otras dermatitis;L30.9;Dermatitis, no especificada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.0;Psoriasis vulgar;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.1;Psoriasis pustulosa generalizada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.2;Acrodermatitis continua;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.3;Pustulosis palmar y plantar;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.4;Psoriasis guttata;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.5;Artropatía psoriásica (M07.0*–M07.3*, M09.0*);"Daga (†): código de causa principal; debe usarse junto con un código asterisco (*)"
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.8;Otras psoriasis;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L40;Psoriasis;L40.9;Psoriasis, no especificada;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.0;Pitiriasis liquenoide y varioliforme aguda;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.1;Pitiriasis liquenoide crónica;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.3;Parapsoriasis en placas pequeñas;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.4;Parapsoriasis en placas grandes;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.5;Parapsoriasis retiforme;
XII;Enfermedades de la piel y del tejido subcutáneo (L00–L99);Trastornos papuloescamosos;L41;Parapsoriasis;L41.8;Otras parapsoriasis;
